Kinase	Z	method	AvgZ
AMPK	4.07	meanLFC>0.6	3.288
DMPK	3.56	meanLFC>0.6	2.454
PKA	3.48	meanLFC>0.6	2.542
DYRK	-3.36	meanLFC>0.6	-2.628
PKG	3.35	meanLFC>0.6	2.49
ERK	-3.24	meanLFC>0.6	-1.966
RSK	3.22	meanLFC>0.6	2.386
PAKB	2.89	meanLFC>0.6	0.596
AKT	2.8	meanLFC>0.6	0.746
JNK	-2.46	meanLFC>0.6	-1.914
PDHK	2.42	meanLFC>0.6	1.984
RAD53	2.19	meanLFC>0.6	1.042
PAKA	2.19	meanLFC>0.6	2.088
TAO	2.13	meanLFC>0.6	0.71
PKD	2.05	meanLFC>0.6	1.226
PIM	2.04	meanLFC>0.6	1.586
KHS	1.92	meanLFC>0.6	0.148
P38	-1.9	meanLFC>0.6	-1.506
NMO	-1.73	meanLFC>0.6	-1.178
CAMK1	1.68	meanLFC>0.6	1.018
MST	-1.68	meanLFC>0.6	-1.554
PDK1	-1.48	meanLFC>0.6	-1.728
PLK	-1.41	meanLFC>0.6	-0.32399999999999995
CDK	-1.3	meanLFC>0.6	-0.518
PKCA	1.23	meanLFC>0.6	1.264
COT	1.17	meanLFC>0.6	0.16799999999999998
MLCK	-1.13	meanLFC>0.6	-0.768
VRK1	-1.12	meanLFC>0.6	-0.76
NDR	1.1	meanLFC>0.6	1.972
CAMK2	1.06	meanLFC>0.6	0.412
NEK	1.06	meanLFC>0.6	1.33
GRK	-1.04	meanLFC>0.6	-0.158
MAPKAPK	0.97	meanLFC>0.6	0.476
LKB	-0.95	meanLFC>0.6	-0.358
SGK	0.94	meanLFC>0.6	0.06999999999999999
BARK2	-0.87	meanLFC>0.6	-0.6
MARK	0.86	meanLFC>0.6	0.848
STE11	-0.82	meanLFC>0.6	-0.958
PHK	0.8	meanLFC>0.6	-0.27799999999999997
PEK	0.79	meanLFC>0.6	0.93
NAK	-0.74	meanLFC>0.6	-0.484
HAL	-0.74	meanLFC>0.6	-0.49
MELK	0.73	meanLFC>0.6	0.41200000000000003
TTK	-0.73	meanLFC>0.6	-0.5
PKN	-0.71	meanLFC>0.6	-0.494
NUAK	-0.69	meanLFC>0.6	-0.486
GSK	-0.69	meanLFC>0.6	-1.09
TLK	-0.69	meanLFC>0.6	-0.482
AUR	0.65	meanLFC>0.6	-0.055999999999999994
STKR	0.61	meanLFC>0.6	0.836
PKCI	0.6	meanLFC>0.6	0.63
FRAY	-0.6	meanLFC>0.6	0.08600000000000001
IRAK	-0.54	meanLFC>0.6	0.36
MTOR	-0.54	meanLFC>0.6	-0.6
STE7	-0.53	meanLFC>0.6	0.822
NIK	-0.51	meanLFC>0.6	-0.33999999999999997
SLK	-0.51	meanLFC>0.6	-0.344
PASK	-0.5	meanLFC>0.6	-0.35
WNK	-0.5	meanLFC>0.6	-0.34
CLK	-0.49	meanLFC>0.6	-0.33399999999999996
BRSK	-0.49	meanLFC>0.6	-0.336
ULK	-0.48	meanLFC>0.6	-0.33799999999999997
MOS	-0.48	meanLFC>0.6	-0.346
BUD32	-0.48	meanLFC>0.6	-0.34199999999999997
CAMKK	-0.47	meanLFC>0.6	-0.34199999999999997
DAPK	-0.43	meanLFC>0.6	-0.462
CK1	0.41	meanLFC>0.6	1.05
CK2	0.4	meanLFC>0.6	-0.438
CHK1	-0.4	meanLFC>0.6	-0.832
RAF	-0.38	meanLFC>0.6	0.272
MLK	-0.36	meanLFC>0.6	-0.384
QIK	0.35	meanLFC>0.6	-0.196
PRKDC	-0.31	meanLFC>0.6	0.61
PKCD	0.3	meanLFC>0.6	0.264
RIPK	-0.28	meanLFC>0.6	-0.122
ATM	0.27	meanLFC>0.6	-0.162
ATR	0.26	meanLFC>0.6	1.0939999999999999
MSN	0.25	meanLFC>0.6	-0.16799999999999998
IKK	0.22	meanLFC>0.6	-0.104
PKCH	-0.1	meanLFC>0.6	-0.606
AMPK	4.31	meanLFC>1.1	3.288
PKA	3.43	meanLFC>1.1	2.542
DYRK	-3.17	meanLFC>1.1	-2.628
DMPK	3.12	meanLFC>1.1	2.454
ERK	-3.12	meanLFC>1.1	-1.966
PKG	3	meanLFC>1.1	2.49
RSK	2.96	meanLFC>1.1	2.386
JNK	-2.85	meanLFC>1.1	-1.914
PDHK	2.69	meanLFC>1.1	1.984
TAO	2.18	meanLFC>1.1	0.71
P38	-2.06	meanLFC>1.1	-1.506
PIM	1.99	meanLFC>1.1	1.586
PDK1	-1.98	meanLFC>1.1	-1.728
RAD53	1.98	meanLFC>1.1	1.042
PKD	1.95	meanLFC>1.1	1.226
PAKA	1.91	meanLFC>1.1	2.088
MST	-1.86	meanLFC>1.1	-1.554
AKT	1.72	meanLFC>1.1	0.746
CAMK1	1.65	meanLFC>1.1	1.018
NEK	1.58	meanLFC>1.1	1.33
NMO	-1.53	meanLFC>1.1	-1.178
CAMK2	1.47	meanLFC>1.1	0.412
STE11	-1.45	meanLFC>1.1	-0.958
PKCA	1.44	meanLFC>1.1	1.264
COT	1.42	meanLFC>1.1	0.16799999999999998
NDR	1.41	meanLFC>1.1	1.972
PAKB	1.18	meanLFC>1.1	0.596
PLK	-1.17	meanLFC>1.1	-0.32399999999999995
CDK	-1.16	meanLFC>1.1	-0.518
SGK	1.02	meanLFC>1.1	0.06999999999999999
MLCK	-0.99	meanLFC>1.1	-0.768
MAPKAPK	0.98	meanLFC>1.1	0.476
VRK1	-0.97	meanLFC>1.1	-0.76
GSK	-0.94	meanLFC>1.1	-1.09
CHK1	-0.9	meanLFC>1.1	-0.832
STKR	0.87	meanLFC>1.1	0.836
MELK	0.81	meanLFC>1.1	0.41200000000000003
BARK2	-0.77	meanLFC>1.1	-0.6
GRK	-0.75	meanLFC>1.1	-0.158
PKCD	0.72	meanLFC>1.1	0.264
ATR	0.7	meanLFC>1.1	1.0939999999999999
LKB	-0.68	meanLFC>1.1	-0.358
CK1	0.67	meanLFC>1.1	1.05
AUR	-0.65	meanLFC>1.1	-0.055999999999999994
MTOR	-0.65	meanLFC>1.1	-0.6
STE7	-0.65	meanLFC>1.1	0.822
PKN	-0.64	meanLFC>1.1	-0.494
TLK	-0.64	meanLFC>1.1	-0.482
TTK	-0.64	meanLFC>1.1	-0.5
NUAK	-0.63	meanLFC>1.1	-0.486
HAL	-0.62	meanLFC>1.1	-0.49
QIK	0.6	meanLFC>1.1	-0.196
NAK	-0.59	meanLFC>1.1	-0.484
PEK	0.58	meanLFC>1.1	0.93
RAF	-0.54	meanLFC>1.1	0.272
PHK	0.54	meanLFC>1.1	-0.27799999999999997
DAPK	-0.53	meanLFC>1.1	-0.462
ATM	0.48	meanLFC>1.1	-0.162
PASK	-0.45	meanLFC>1.1	-0.35
