Kinase	Z	method	AvgZ
PLK	-2.97	710317402>0.6	-1.218
NMO	-2.71	710317402>0.6	-1.6406666666666667
DYRK	-2.56	710317402>0.6	-2.8753333333333333
RIPK	-2.5	710317402>0.6	-0.496
DMPK	2.41	710317402>0.6	2.8366666666666664
IKK	-2.4	710317402>0.6	-0.352
AMPK	2.4	710317402>0.6	3.5886666666666667
RSK	2.36	710317402>0.6	2.602
AKT	2.26	710317402>0.6	1.9846666666666666
STE7	-2.26	710317402>0.6	-0.36466666666666664
CDK	-2.2	710317402>0.6	-1.054
PIM	2.18	710317402>0.6	1.7633333333333334
GRK	-2.18	710317402>0.6	-0.8386666666666667
PKCH	2.12	710317402>0.6	0.12400000000000001
ERK	-2.1	710317402>0.6	-2.670666666666667
LKB	-2.01	710317402>0.6	-0.814
RAD53	1.96	710317402>0.6	1.7253333333333334
STE11	-1.91	710317402>0.6	-1.2586666666666666
PKN	1.87	710317402>0.6	-0.27066666666666667
PAKB	1.86	710317402>0.6	1.3673333333333333
JNK	-1.85	710317402>0.6	-1.9673333333333334
P38	-1.58	710317402>0.6	-1.468
MST	-1.57	710317402>0.6	-1.6173333333333333
PKA	1.55	710317402>0.6	2.8113333333333332
PAKA	1.47	710317402>0.6	1.8659999999999999
GSK	-1.39	710317402>0.6	-1.004
BARK2	-1.37	710317402>0.6	-0.8340000000000001
MAPKAPK	1.33	710317402>0.6	1.01
PKCA	1.33	710317402>0.6	1.264
KHS	1.31	710317402>0.6	1.1653333333333333
PDHK	1.3	710317402>0.6	2.034
TAO	1.3	710317402>0.6	1.7786666666666666
IRAK	-1.29	710317402>0.6	-0.274
WNK	1.28	710317402>0.6	-0.33599999999999997
NUAK	-1.12	710317402>0.6	-0.666
TTK	-1.11	710317402>0.6	-0.68
NAK	-1.11	710317402>0.6	-0.6726666666666666
HAL	-1.09	710317402>0.6	-0.68
TLK	-1.09	710317402>0.6	-0.6733333333333333
NDR	1.07	710317402>0.6	1.4246666666666667
COT	1.05	710317402>0.6	0.542
QIK	-0.98	710317402>0.6	0.038666666666666655
MLK	-0.92	710317402>0.6	-0.4633333333333333
CK1	-0.91	710317402>0.6	0.8026666666666666
VRK1	-0.82	710317402>0.6	-0.948
BRSK	-0.81	710317402>0.6	-0.4766666666666667
MLCK	-0.81	710317402>0.6	-0.8726666666666667
CLK	-0.8	710317402>0.6	-0.4766666666666667
BUD32	-0.79	710317402>0.6	-0.478
PASK	-0.79	710317402>0.6	-0.472
SLK	-0.78	710317402>0.6	-0.4766666666666667
CK2	-0.75	710317402>0.6	-0.5193333333333333
NIK	-0.75	710317402>0.6	-0.4713333333333333
CAMKK	-0.75	710317402>0.6	-0.47533333333333333
ULK	-0.75	710317402>0.6	-0.472
PKG	0.74	710317402>0.6	2.3486666666666665
MOS	-0.74	710317402>0.6	-0.47533333333333333
CAMK2	-0.71	710317402>0.6	0.4766666666666667
FRAY	0.69	710317402>0.6	-0.03533333333333334
ATR	0.68	710317402>0.6	0.582
PKCD	0.68	710317402>0.6	0.49133333333333334
MARK	0.68	710317402>0.6	0.764
MELK	-0.67	710317402>0.6	0.5426666666666666
MSN	0.59	710317402>0.6	0.238
SGK	0.58	710317402>0.6	0.8313333333333334
PHK	0.57	710317402>0.6	0.3746666666666667
PKCI	0.55	710317402>0.6	0.606
PDK1	-0.55	710317402>0.6	-1.4306666666666668
AUR	0.53	710317402>0.6	-0.06866666666666667
CHK1	-0.53	710317402>0.6	-0.462
ATM	-0.53	710317402>0.6	0.064
STKR	-0.5	710317402>0.6	0.822
RAF	0.47	710317402>0.6	0.030666666666666658
NEK	-0.42	710317402>0.6	1.0813333333333333
PKD	0.27	710317402>0.6	1.3346666666666667
PRKDC	0.26	710317402>0.6	0.06733333333333333
MTOR	-0.18	710317402>0.6	-0.59
PEK	-0.15	710317402>0.6	0.5293333333333333
