Kinase	Z	method	AvgZ
DYRK	-3.36	710317402>0.6	-2.4939999999999998
DMPK	3.23	710317402>0.6	2.3853333333333335
AMPK	3.17	710317402>0.6	2.9146666666666667
ERK	-2.98	710317402>0.6	-1.9206666666666667
PDHK	2.62	710317402>0.6	1.8013333333333332
RSK	2.47	710317402>0.6	2.272666666666667
PKA	2.46	710317402>0.6	2.2373333333333334
PKG	2.43	710317402>0.6	2.1053333333333333
PAKB	2.37	710317402>0.6	0.52
AKT	2.15	710317402>0.6	0.7346666666666666
RAD53	2.14	710317402>0.6	0.9766666666666667
JNK	-1.98	710317402>0.6	-1.7486666666666666
NMO	-1.96	710317402>0.6	-1.2246666666666666
PKCH	1.81	710317402>0.6	-0.37666666666666665
TAO	1.75	710317402>0.6	0.882
PAKA	1.74	710317402>0.6	2.102666666666667
PIM	1.71	710317402>0.6	1.6606666666666667
KHS	1.67	710317402>0.6	0.274
PKCA	1.65	710317402>0.6	1.1993333333333334
P38	-1.57	710317402>0.6	-1.4353333333333333
CDK	-1.57	710317402>0.6	-0.6946666666666667
STE7	-1.47	710317402>0.6	0.7453333333333333
PLK	-1.44	710317402>0.6	-0.3926666666666666
GRK	-1.35	710317402>0.6	-0.27266666666666667
MLCK	-1.32	710317402>0.6	-0.6753333333333333
VRK1	-1.31	710317402>0.6	-0.8113333333333334
LKB	-1.23	710317402>0.6	-0.426
PKCD	1.21	710317402>0.6	0.40066666666666667
GSK	-1.18	710317402>0.6	-0.8766666666666666
MTOR	-1.14	710317402>0.6	-0.42866666666666664
STE11	-1.11	710317402>0.6	-0.9460000000000001
MST	-1.1	710317402>0.6	-1.5206666666666666
MELK	1.03	710317402>0.6	0.4453333333333333
DAPK	-1.01	710317402>0.6	-0.564
BARK2	-1.01	710317402>0.6	-0.624
NEK	0.99	710317402>0.6	1.3446666666666667
PKD	0.97	710317402>0.6	1.2706666666666666
IRAK	-0.97	710317402>0.6	0.4026666666666666
CAMK1	0.94	710317402>0.6	0.904
AUR	0.92	710317402>0.6	-0.044
