Kinase	Z	method	AvgZ
PLK	-2.94	meanLFC>0.2	-2.378
DMPK	2.75	meanLFC>0.2	2.66
PKCH	2.51	meanLFC>0.2	1.548
NMO	-2.43	meanLFC>0.2	-2.142
DYRK	-2.34	meanLFC>0.2	-2.17
JNK	-2.31	meanLFC>0.2	-1.756
AMPK	2.26	meanLFC>0.2	2.88
AKT	2.18	meanLFC>0.2	2.306
RSK	2.07	meanLFC>0.2	2.038
PIM	2.04	meanLFC>0.2	1.6280000000000001
PKN	1.99	meanLFC>0.2	0.946
PAKB	1.98	meanLFC>0.2	2.278
RIPK	-1.94	meanLFC>0.2	-1.482
P38	-1.71	meanLFC>0.2	-1.308
STE7	-1.63	meanLFC>0.2	-1.16
PKA	1.61	meanLFC>0.2	1.958
PDK1	-1.6	meanLFC>0.2	-1.25
RAD53	1.58	meanLFC>0.2	1.534
CHK1	-1.45	meanLFC>0.2	-1.04
TAO	1.4	meanLFC>0.2	1.642
KHS	1.37	meanLFC>0.2	1.6
IKK	-1.35	meanLFC>0.2	-1.1260000000000001
GRK	-1.34	meanLFC>0.2	-1.068
BARK2	-1.26	meanLFC>0.2	-1.1
CDK	-1.24	meanLFC>0.2	-0.988
PAKA	1.19	meanLFC>0.2	1.56
COT	1.19	meanLFC>0.2	0.99
ERK	-1.15	meanLFC>0.2	-1.556
MST	-1.14	meanLFC>0.2	-1.282
HAL	-1.07	meanLFC>0.2	-0.92
PDHK	1.05	meanLFC>0.2	1.27
TLK	-1.04	meanLFC>0.2	-0.89
NUAK	-1.02	meanLFC>0.2	-0.888
NAK	-1.01	meanLFC>0.2	-0.892
TTK	-1	meanLFC>0.2	-0.874
STE11	-0.97	meanLFC>0.2	-0.742
PKG	0.95	meanLFC>0.2	1.212
FRAY	-0.95	meanLFC>0.2	-0.888
PKCD	0.94	meanLFC>0.2	0.452
PKD	0.92	meanLFC>0.2	1.262
MAPKAPK	0.85	meanLFC>0.2	0.844
AUR	0.79	meanLFC>0.2	0.134
PHK	0.75	meanLFC>0.2	0.412
BRSK	-0.75	meanLFC>0.2	-0.636
CLK	-0.75	meanLFC>0.2	-0.624
BUD32	-0.75	meanLFC>0.2	-0.638
